BackL	BackR	FrontL	FrontR	FrontC	FrontRR	BackC	FrontLL
21.0	84.0	19.0	19.0	4.0	7.0	118.0	7.0
22.0	84.0	19.0	19.0	7.0	7.0	139.0	7.0
23.0	98.0	18.0	18.0	4.0	7.0	161.0	7.0
31.0	146.0	18.0	19.0	4.0	7.0	233.0	7.0
34.0	171.0	19.0	19.0	4.0	7.0	283.0	7.0
43.0	243.0	19.0	16.0	4.0	10.0	424.0	7.0
50.0	312.0	19.0	19.0	4.0	7.0	578.0	7.0
65.0	459.0	19.0	19.0	4.0	6.0	1097.0	7.0
89.0	758.0	19.0	19.0	4.0	8.0	1685.0	7.0
112.0	1331.0	19.0	19.0	4.0	7.0	3170.0	7.0
164.0	3204.0	19.0	19.0	4.0	7.0	9887.0	7.0
221.0	10899.0	19.0	19.0	4.0	8.0	35598.0	7.0
